,abbr,date,daily_records,tested,positive,deaths,population,multipliler,tested_pm,positive_pm,deaths_pm,daily_tests,daily_positive,daily_deaths,daily_tests_pm,daily_positive_pm,daily_deaths_pm,daily_tests_7day_mean,daily_positive_7day_mean,daily_deaths_7day_mean,daily_tests_pm_7day_mean,daily_positive_pm_7day_mean,daily_deaths_pm_7day_mean,daily_test_rk,daily_positive_rk,daily_deaths_rk,daily_test_pm_rk,daily_positive_pm_rk,daily_deaths_pm_rk
71,MA,2020-03-09,1,0.0,41.0,0.0,6892503,0,0.0,5.948492151544947,0.0,0.0,13.0,0.0,0.0,1.8861072675630322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
72,MD,2020-03-09,1,78.0,5.0,0.0,6045680,0,12.9017744902145,0.8270368262958013,0.0,23.0,2.0,0.0,3.8043694009606863,0.33081473051832055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
73,ME,2020-03-09,0,0.0,0.0,0.0,1344212,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
74,MI,2020-03-09,2,63.0,0.0,0.0,9986857,0,6.308290986844009,0.0,0.0,27.0,0.0,0.0,2.7035532800760036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
75,MN,2020-03-09,2,82.0,2.0,0.0,5639632,0,14.539955798534372,0.3546330682569359,0.0,33.0,1.0,0.0,5.8514456262394425,0.17731653412846796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
76,MO,2020-03-09,0,0.0,1.0,0.0,6137428,0,0.0,0.16293470163723306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
77,MS,2020-03-09,0,0.0,0.0,0.0,2976149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
78,MT,2020-03-09,0,11.0,0.0,0.0,1068778,0,10.29212801910219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
79,NC,2020-03-09,1,0.0,2.0,0.0,10488084,0,0.0,0.1906925993346354,0.0,0.0,2.0,0.0,0.0,0.1906925993346354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
80,ND,2020-03-09,1,5.0,0.0,0.0,762062,1,6.561145943505909,0.0,0.0,5.0,0.0,0.0,6.561145943505909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
